city_id,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
149,Kalmunai,LK,75.27,7.4167,81.8167,broken clouds,Saji new food
150,Hilo,US,78.53,19.7297,-155.09,scattered clouds,Dolphin Bay Hotel
151,San Lorenzo,PY,77.94,-25.3333,-57.5333,clear sky,Hotel del Sur
152,Mahebourg,MU,79.09,-20.4081,57.7,scattered clouds,Grand Bel Air
153,Kodiak,US,36.91,57.79,-152.4072,light rain,Shelikof Lodge
155,Viedma,AR,59.72,-40.8135,-62.9967,clear sky,Níjar
156,Shimoda,JP,52.16,34.6667,138.95,light rain,ホテルウラガ
157,Chuy,UY,66.09,-33.6971,-53.4616,clear sky,Alerces
160,Arica,CL,71.15,-18.475,-70.3042,clear sky,Hotel Andalucía 
162,Dongsheng,CN,9.81,39.8161,109.9776,clear sky,Meimei hotel
163,Hambantota,LK,73.74,6.1241,81.1185,broken clouds,Oasis Aurweda Resort Hambathota
164,Lashio,MM,56.01,22.9333,97.75,clear sky,Golden Kaniri Hotel
166,Havre-Saint-Pierre,CA,17.6,50.2334,-63.5986,clear sky,Complexe MV
170,Okha,RU,-17.03,53.5739,142.9478,few clouds,Сфера
172,Valreas,FR,35.67,44.3837,4.9908,clear sky,La paix
173,Vieste,IT,53.31,41.8825,16.175,overcast clouds,Palace Hotel Vieste
177,Riyadh,SA,55.54,24.6877,46.7219,overcast clouds,White Palace Hotel
178,Svetlogorsk,BY,32.16,52.6333,29.7333,overcast clouds,Гостиница Светочь
179,Geraldton,AU,73.81,-28.7667,114.6,overcast clouds,Ocean Centre Hotel
180,Semey,KZ,12.42,50.4111,80.2275,overcast clouds,Гостинница Милениум
181,Isangel,VU,86.11,-19.55,169.2667,broken clouds,Tanna Lodge
182,Glendive,US,29.82,47.1053,-104.7125,fog,La Quinta Inn & Suites by Wyndham Glendive
184,Anloga,GH,79.7,5.7947,0.8973,few clouds,Hotel de White House
185,Te Anau,NZ,73.99,-45.4167,167.7167,few clouds,Lakeside Motels & Apartments
186,Bonavista,CA,32.04,48.6499,-53.1147,light snow,Harbour Quarters Inn
187,Guiglo,CI,67.95,6.5456,-7.4966,clear sky,Hôtel Gbaoly 2
188,Cockburn Town,TC,71.56,21.4612,-71.1419,scattered clouds,The Salt Raker Inn
189,Sao Joao Da Barra,BR,75.47,-21.6403,-41.0511,overcast clouds,Pousada Mediterrâneo
191,Port-Gentil,GA,79.54,-0.7193,8.7815,overcast clouds,Tara-Mé
192,Bathsheba,BB,77.61,13.2167,-59.5167,scattered clouds,Atlantis Hotel
